ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,price,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,score,headline_count,sentiment_score,sentiment_norm,macro_adjustment,growth_score,value_score,growth_composite,momentum_score,confidence_pct,sources_present,ai_summary
ON,Technology,54.026146,5.192247,4.4577475,0.26,1656649984.0,0.366,-1.1872020493333295,82.66000366210938,False,True,40.806917554362755,True,4476400.0,9891503.333333334,False,46.10861628921267,50,43.424545039092436,10.0,-0.10892021059989929,25.878338544733655,0,72.68722466960352,44.04692055523765,63.46889112319583,41.16828011957806,100.0,4,"ON trades at an attractive PEG ratio of 0.26, and is priced below its sector's average P/E, and is trading above its 200-day average and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
FIS,Technology,6.5929337,1.8142704,1.3888619,0.25,2653125120.0,,-48.62041434933333,42.91999816894531,True,False,49.038455366386486,False,4146500.0,6212900.0,False,47.95632087358253,25,43.27826588999776,10.0,0.16479564905166627,64.7396074844281,0,27.863436123348016,44.73473364681373,30.97836603478642,41.204494706908086,100.0,4,"FIS trades at an attractive PEG ratio of 0.25, and is priced below its sector's average P/E, and is trading below its 200-day average, and recent news sentiment has been notably positive."
HPE,Technology,54.869156,2.004021,3.071731,0.85,3836000000.0,,-0.3441920493333299,58.709999084472656,True,True,73.4611943064032,True,11739900.0,17370296.666666668,False,14.045507325147616,75,42.68477177552242,10.0,0.1706547796726227,65.57146739602999,-3,27.863436123348016,37.01302450449307,41.06155202594661,65.60456432112525,100.0,4,"HPE trades at an attractive PEG ratio of 0.85, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been notably positive."
APO,Financial Services,49.914894,2.335099,4.134771,0.65,,0.637,30.379222569117644,140.75999450683594,True,True,67.62696728364459,True,2558900.0,4339026.666666667,False,18.39304752366491,75,42.115058463602054,10.0,0.08169276118278504,52.940935389764206,-3,83.48017621145375,37.72696882266358,78.73021688699404,61.618632138783966,100.0,4,"APO trades at an attractive PEG ratio of 0.65, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
CIEN,Technology,142.92332,10.898189,20.991383,0.67,700927872.0,23.833,87.70997195066667,428.7699890136719,True,True,60.82842502635958,True,2518000.0,2042396.6666666667,False,17.841493916390327,75,42.09424640518144,10.0,0.08970066308975219,54.07787071402891,-3,100.0,37.56657695693853,90.4077870714029,61.96140414154915,100.0,4,"CIEN trades at an attractive PEG ratio of 0.67, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
DELL,Technology,39.07723,2.36663,-226.91168,0.81,5434124800.0,2.825,-16.136118049333326,490.80999755859375,True,True,61.45571805214906,True,3989100.0,6441483.333333333,False,14.743260690341748,75,40.519984247447425,9.0,0.08335957924524943,53.17758468396816,-3,95.59471365638767,35.572594116800275,87.23405802786819,61.33648070842303,100.0,4,"DELL trades at an attractive PEG ratio of 0.81, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
JBL,Technology,45.44431,1.1327238,28.76951,0.82,1211624960.0,0.276,-9.769038049333325,363.1000061035156,True,True,69.34572200211124,True,1049500.0,1105523.3333333333,False,14.562440458507902,75,39.95546454765135,10.0,0.06634443998336792,50.76183170661397,-3,65.41850220264317,35.101739031096834,65.86913471251161,60.472885143165676,100.0,4,"JBL trades at an attractive PEG ratio of 0.82, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
ZBH,Healthcare,24.429613,2.256223,1.5196581,0.67,1090899968.0,0.338,-8.435704754901959,100.6500015258789,True,True,69.78781985908148,True,2152700.0,2501583.3333333335,False,17.841493916390327,75,39.790217376879845,10.0,0.008559554815292358,42.55772557252097,-3,70.04405286343612,35.83855518571234,68.28660956165739,57.92935334202137,100.0,4,"ZBH trades at an attractive PEG ratio of 0.67, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
WDAY,Technology,61.701862,4.9795704,7.40266,0.78,3118749952.0,2.48,6.488513950666672,198.67999267578125,True,True,74.04099242956906,True,8190900.0,4916013.333333333,True,15.313539883048492,100,38.891092947371824,10.0,-0.291191965341568,0.0,-3,95.15418502202643,34.188123929829096,86.60792951541849,56.53135398830486,100.0,4,"WDAY trades at an attractive PEG ratio of 0.78, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum and seeing an unusual volume spike, and recent news sentiment has been notably negative."
TPR,Consumer Cyclical,17.741402,3.2557566,38.238956,0.26,1399924992.0,,-26.30375489361702,128.97999572753906,False,False,38.788264745374825,False,5539900.0,2671853.3333333335,True,46.10861628921267,25,37.76737101014072,,,41.34246839997507,0,27.863436123348016,40.11654003352386,28.638652126341114,32.83072556891254,75.0,3,"TPR trades at an attractive PEG ratio of 0.26, and is priced below its sector's average P/E, and is trading below its 200-day average and seeing an unusual volume spike, and no reliable sentiment data was available today."
CVS,Healthcare,25.635885,0.30114207,1.5579251,0.26,8076000256.0,1.888,-7.229432754901961,97.16000366210938,False,True,29.048635532072012,False,9436200.0,8174713.333333333,False,46.10861628921267,25,37.76737101014072,,,41.34246839997507,0,93.3920704845815,40.11654003352386,74.50869617920455,32.83072556891254,75.0,3,"CVS trades at an attractive PEG ratio of 0.26, and is priced below its sector's average P/E, and is trading above its 200-day average, and no reliable sentiment data was available today."
ALGN,Healthcare,31.422876,3.11152,3.0519972,0.86,584361344.0,-0.121,-1.4424417549019601,181.30999755859375,True,True,62.56634150616151,True,960000.0,905096.6666666666,False,13.881210747878066,75,37.765038516540145,,,41.34246839997507,-3,14.977973568281937,33.2800967087231,29.618828337794866,57.107985014779075,75.0,3,"ALGN trades at an attractive PEG ratio of 0.86, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
SMCI,Technology,20.968422,0.6597387,3.1626577,0.91,-8231267840.0,4.094,-34.24492604933333,39.84000015258789,True,True,71.92829103320162,True,61849700.0,51484253.333333336,False,13.113891568322478,75,37.41974488574013,,,41.34246839997507,-3,97.79735682819384,32.819705200989745,87.59239661973318,57.03125309682352,75.0,3,"SMCI trades at an attractive PEG ratio of 0.91, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
VZ,Communication Services,12.625,1.4501854,1.9382697,0.92,17466624000.0,-0.22,-36.659201789473684,48.47999954223633,True,True,57.49353744094983,True,15056000.0,26020496.666666668,False,12.970436243449043,75,37.355189989547085,,,41.34246839997507,-3,11.674008810572687,32.73363200606569,27.30605300739839,57.01690756433617,75.0,3,"VZ trades at an attractive PEG ratio of 0.92, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
BKNG,Consumer Cyclical,23.53607,5.6420712,-14.906509,0.93,7725875200.0,1.3,-20.50908689361702,212.05999755859375,True,True,75.6132204890298,True,4105500.0,5843603.333333333,False,12.830065979325575,75,37.292023370691524,,,41.34246839997507,-3,90.96916299559471,32.649409847591606,82.8126609369138,57.002870537923826,75.0,3,"BKNG trades at an attractive PEG ratio of 0.93, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
CPAY,Technology,25.386017,5.4614954,7.867963,0.95,1946175872.0,-0.07,-29.827331049333328,417.6000061035156,True,True,71.21263894536496,True,292100.0,539706.6666666666,False,12.558190941444328,75,37.169679603644965,,,41.34246839997507,-3,18.28193832599119,32.48628482486286,31.931603668191343,56.975683034135706,75.0,3,"CPAY trades at an attractive PEG ratio of 0.95, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
ADSK,Technology,36.738686,7.0783024,16.650787,0.96,3060999936.0,2.314,-18.474662049333325,251.66000366210938,True,True,67.50033807018752,True,1395300.0,2052940.0,False,12.426501469970603,75,37.11041934148179,,,41.34246839997507,-3,94.27312775330397,32.407271141978626,85.12543626731028,56.96251408698833,75.0,3,"ADSK trades at an attractive PEG ratio of 0.96, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
FTV,Technology,32.603176,4.31213,3.0766926,0.98,939112512.0,0.04,-22.61017204933333,61.619998931884766,True,True,44.425389133478085,True,1717900.0,2679216.6666666665,False,12.171185147725618,75,36.99552699647154,,,41.34246839997507,-3,34.36123348017621,32.25408134863163,43.187110276120855,56.936982454763836,75.0,3,"FTV trades at an attractive PEG ratio of 0.98, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
CCL,Consumer Cyclical,12.666667,1.4102207,2.9750319,0.98,1899374976.0,-0.065,-31.37848989361702,28.1200008392334,True,True,58.09739554999823,True,15045600.0,17971540.0,False,12.171185147725618,75,36.99552699647154,,,41.34246839997507,-3,18.94273127753304,32.25408134863163,32.39415873427063,56.936982454763836,75.0,3,"CCL trades at an attractive PEG ratio of 0.98, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
CBRE,Real Estate,34.979404,1.0126623,5.2757645,1.0,1637624960.0,-0.042,-26.401550666666665,152.86000061035156,True,True,64.81845838056586,True,950600.0,1674620.0,False,11.926081478370433,75,36.885230345261704,,,41.34246839997507,-3,21.696035242290748,32.10701914701852,34.32147150960103,56.91247208782831,75.0,3,"CBRE has a reasonable PEG ratio of 1.00, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
COP,Energy,16.769842,2.3628285,2.3306432,1.0,7691375104.0,1.07,-2.6345090952380943,126.77999877929688,True,True,68.30063583229905,True,5626200.0,6511286.666666667,False,11.926081478370433,75,36.885230345261704,,,41.34246839997507,-3,89.64757709251101,32.10701914701852,81.88755080475521,56.91247208782831,75.0,3,"COP has a reasonable PEG ratio of 1.00, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
EXPE,Consumer Cyclical,20.9239,2.5433216,33.02134,1.03,3434374912.0,1.887,-23.12125689361702,332.69000244140625,True,True,76.32293621831634,True,1334000.0,1579206.6666666667,False,11.576273328902355,75,36.727816678001076,,,41.34246839997507,-3,93.17180616740089,31.897134257337672,84.35451115717812,56.87749127288151,75.0,3,"EXPE has a reasonable PEG ratio of 1.03, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
MDLZ,Consumer Defensive,39.02454,2.046275,3.057732,1.05,2252375040.0,1.449,12.85910156,63.61000061035156,True,True,62.35294985052159,True,4075600.0,8827686.666666666,False,11.35417291654167,75,36.62787149243877,,,41.34246839997507,-3,91.85022026431719,31.76387400992126,83.42940102501953,56.855281231645435,75.0,3,"MDLZ has a reasonable PEG ratio of 1.05, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
TER,Technology,57.44719,14.667,20.85296,1.07,437381248.0,3.858,2.2338419506666725,418.7900085449219,True,True,71.49509273477408,True,1840000.0,3516310.0,False,11.140375323334654,75,36.53166257549561,,,41.34246839997507,-3,97.57709251101322,31.635595453997052,87.43821159770675,56.83390147232473,75.0,3,"TER has a reasonable PEG ratio of 1.07, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
KDP,Consumer Defensive,31.757576,2.1296353,1.6932356,1.08,4607249920.0,-0.9,5.592137559999998,31.440000534057617,True,True,60.185183549941044,True,13701800.0,13174243.333333334,False,11.03644593774791,75,36.48489435198157,,,41.34246839997507,-3,0.6607929515418502,31.573237822645005,19.596801906076802,56.82350853376606,75.0,3,"KDP has a reasonable PEG ratio of 1.08, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
AMAT,Technology,43.684753,13.058351,15.714329,1.09,3195375104.0,0.428,-11.528595049333326,507.17999267578125,False,True,48.41043474368461,True,13114200.0,8158713.333333333,True,10.934423513364594,75,36.43898426100908,,,41.34246839997507,-3,75.33039647577093,31.512024368015016,71.86552437303715,56.81330629132773,75.0,3,"AMAT has a reasonable PEG ratio of 1.09, and is priced below its sector's average P/E, and is trading above its 200-day average and showing bullish MACD momentum and seeing an unusual volume spike, and no reliable sentiment data was available today."
VEEV,Healthcare,43.29485,11.929188,5.43745,1.1,1259549056.0,0.146,10.429532245098038,243.75,True,True,80.89506747284281,True,1425400.0,1739840.0,False,10.834256042151884,75,36.39390889896336,,,41.34246839997507,-3,51.65198237885462,31.45192388528739,55.29063450519574,56.80328954420646,75.0,3,"VEEV has a reasonable PEG ratio of 1.10, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
AMD,Technology,131.55754,20.329954,12.487922,1.1,8841499648.0,1.595,76.34419195066667,514.3900146484375,True,True,53.4566132927648,True,25481000.0,27746326.666666668,False,10.834256042151884,75,36.39390889896336,,,41.34246839997507,-3,92.73127753303964,31.45192388528739,84.04614111312524,56.80328954420646,75.0,3,"AMD has a reasonable PEG ratio of 1.10, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
BAC,Financial Services,14.8937645,3.9582055,1.6392151,1.1,,0.341,-4.641906930882353,64.48999786376953,True,True,65.94592922703384,True,21844600.0,30940240.0,False,10.834256042151884,75,36.39390889896336,,,41.34246839997507,-3,70.26431718061674,31.45192388528739,68.31926886642921,56.80328954420646,75.0,3,"BAC has a reasonable PEG ratio of 1.10, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
EME,Industrials,26.044533,1.9834988,9.070489,0.42,978281600.0,0.348,-32.69469268,836.2899780273438,True,True,66.1486267847099,True,288900.0,453520.0,False,28.511429771404572,75,36.359179621706204,10.0,-0.2813651323318481,1.395181122870703,-3,70.59471365638767,36.06613503127335,64.55581767175842,44.5894563701452,100.0,4,"EME trades at an attractive PEG ratio of 0.42, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been notably negative."
BDX,Healthcare,31.730103,2.2218351,2.04603,1.11,4478374912.0,-0.314,-1.1352147549019591,183.39999389648438,True,True,86.77907355636222,True,1009000.0,1863960.0,False,10.735893390240301,75,36.34964570560315,,,41.34246839997507,-3,8.590308370044053,31.39290629414044,25.147462699028345,56.7934532790153,75.0,3,"BDX has a reasonable PEG ratio of 1.11, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
NOW,Technology,77.5,8.702069,10.242855,1.11,5149374976.0,-0.219,22.286651950666673,124.0,True,True,71.26384015433337,True,15002500.0,22407913.333333332,False,10.735893390240301,75,36.34964570560315,,,41.34246839997507,-3,11.894273127753303,31.39290629414044,27.460238029424822,56.7934532790153,75.0,3,"NOW has a reasonable PEG ratio of 1.11, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
SCHW,Financial Services,20.234972,7.3818207,4.369665,1.12,,0.426,0.6993005691176464,111.08999633789062,True,True,80.30823443872595,True,5984900.0,7917770.0,False,10.639287214255715,75,36.306172926410085,,,41.34246839997507,-3,75.1101321585903,31.334942588549687,71.71133935101071,56.78379266141684,75.0,3,"SCHW has a reasonable PEG ratio of 1.12, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
C,Financial Services,15.014009,2.8602564,1.2143319,0.75,,0.61,-4.521662430882353,139.3300018310547,True,True,63.063090116363,True,6829700.0,11390523.333333334,False,15.929441411171776,75,36.23493673501375,10.0,-0.08634536266326905,29.08344049993224,-3,82.37885462555066,32.670180921692904,75.57354228787867,53.022148316093464,100.0,4,"C trades at an attractive PEG ratio of 0.75, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
SYF,Financial Services,8.307693,2.6599758,1.7339926,1.14,,0.036,-11.227978430882352,81.0,True,True,69.82989719769118,True,2124500.0,3652360.0,False,10.451159397864675,75,36.22151540903412,,,41.34246839997507,-3,33.70044052863436,31.222065898715066,42.72455521004156,56.76497987977774,75.0,3,"SYF has a reasonable PEG ratio of 1.14, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
APH,Technology,41.882206,7.10212,13.296468,1.16,3818374912.0,0.593,-13.33114204933333,167.11000061035156,True,True,68.91575876424906,True,4481900.0,6506286.666666667,False,10.269518747556084,75,36.13977711639525,,,41.34246839997507,-3,81.4977973568282,31.11308150852991,76.18270498977724,56.74681581474688,75.0,3,"APH has a reasonable PEG ratio of 1.16, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
CVX,Energy,19.23077,1.8736899,2.0661156,0.77,21934000128.0,3.219,-0.17358109523809517,200.0,True,True,62.15362646737014,True,7907500.0,7809590.0,False,15.513507911659948,75,35.92251923349059,10.0,-0.09075620770454407,28.457203366218064,-3,96.69603524229075,32.32668525192868,85.53294500622533,52.76137196934231,100.0,4,"CVX trades at an attractive PEG ratio of 0.77, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
ABBV,Healthcare,70.468925,6.8465986,-74.26615,0.41,16870250496.0,2.904,37.60360724509804,249.4600067138672,True,True,41.04351967115259,False,4195000.0,5691096.666666667,False,29.208879237049405,50,35.91248933666725,,,41.34246839997507,-3,95.81497797356829,36.2266978022259,81.2047314214953,44.89075186369622,75.0,3,"ABBV trades at an attractive PEG ratio of 0.41, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages, and no reliable sentiment data was available today."
SOLV,Healthcare,10.830072,1.8146955,3.0937662,1.22,489000000.0,0.039,-22.035245754901958,88.58999633789062,True,True,65.1605591622822,True,1450400.0,1157666.6666666667,False,9.760329383576263,75,35.91064190260433,,,41.34246839997507,-3,34.140969162995596,30.807567890142018,43.03292525409443,56.6958968783489,75.0,3,"SOLV has a reasonable PEG ratio of 1.22, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
APA,Energy,8.537975,1.6540744,2.0212767,0.77,2146749952.0,0.263,-10.866376095238095,40.470001220703125,True,True,70.62635481529472,True,3961200.0,5462730.0,False,15.513507911659948,75,35.86331461169591,10.0,-0.09284121990203857,28.161180257244688,-3,64.53744493392071,32.28228178558267,62.992329479468964,52.65776388120163,100.0,4,"APA trades at an attractive PEG ratio of 0.77, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and recent news sentiment has been roughly neutral."
FOXA,Communication Services,17.979168,1.6917347,2.4912498,1.24,555374976.0,0.031,-31.305033789473683,69.04000091552734,True,True,83.65905977889673,True,7497900.0,5069986.666666667,False,9.60154990448578,75,35.839191137013614,,,41.34246839997507,-3,32.819383259911895,30.71230020268773,42.107815121935836,56.68001893043985,75.0,3,"FOXA has a reasonable PEG ratio of 1.24, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
TRGP,Energy,26.391388,3.5324154,18.880674,1.25,65837500.0,0.233,6.987036904761904,275.7900085449219,True,True,56.74461109271146,True,716200.0,1109903.3333333333,False,9.524065518689627,75,35.80432316340534,,,41.34246839997507,-3,61.78414096916299,30.665809571210037,62.3831455184116,56.67227049186023,75.0,3,"TRGP has a reasonable PEG ratio of 1.25, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
XOM,Energy,20.631443,1.82329,2.5380468,1.25,20671000576.0,1.128,1.227091904761906,160.10000610351562,True,True,60.47150506657202,True,10228400.0,14353626.666666666,False,9.524065518689627,75,35.80432316340534,,,41.34246839997507,-3,90.30837004405286,30.665809571210037,82.35010587083451,56.67227049186023,75.0,3,"XOM has a reasonable PEG ratio of 1.25, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
LMT,Industrials,22.419153,1.8240542,15.966633,1.26,5562625024.0,4.438,-36.32007268,608.6799926757812,True,True,63.71462644817114,True,862100.0,1122160.0,False,9.447811043779124,75,35.770008649695626,,,41.34246839997507,-3,98.23788546255507,30.620056886263733,87.90076666378604,56.66464504436918,75.0,3,"LMT has a reasonable PEG ratio of 1.26, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
BLK,Financial Services,28.093107,6.98572,3.1577005,1.26,7578124800.0,0.196,8.557435569117647,1173.72998046875,True,True,80.81862474866085,True,514900.0,734606.6666666666,False,9.447811043779124,75,35.770008649695626,,,41.34246839997507,-3,57.819383259911895,30.620056886263733,59.607815121935836,56.66464504436918,75.0,3,"BLK has a reasonable PEG ratio of 1.26, and is priced above its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
NTRS,Financial Services,16.444159,3.8544428,2.926669,1.27,,0.986,-3.0915124308823536,191.41000366210938,True,True,70.56914989390884,True,599300.0,1096166.6666666667,False,9.372757426741227,75,35.73623452202857,,,41.34246839997507,-3,88.76651982378854,30.575024716040996,81.27081071664948,56.657139682665395,75.0,3,"NTRS has a reasonable PEG ratio of 1.27, and is priced below its sector's average P/E, and is trading above both its 50 and 200-day averages and showing bullish MACD momentum, and no reliable sentiment data was available today."
